Symbol: ES
Interval: monthly

Date,Open,High,Low,Close,Volume
,ES=F,ES=F,ES=F,ES=F,ES=F
2023-05-01,4190.0,4243.25,4062.25,4190.5,35558019
2023-06-01,4188.5,4498.0,4178.0,4488.25,33100642
2023-07-01,4485.5,4634.5,4411.25,4614.5,27745495
2023-08-01,4617.75,4621.75,4350.0,4516.0,36242415
2023-09-01,4516.75,4547.75,4277.0,4325.5,30736275
2023-11-01,4205.0,4597.0,4191.25,4576.75,32976841
2023-12-01,4571.75,4841.5,4548.75,4820.0,28365508
2024-01-01,4818.0,4957.25,4702.0,4870.5,34351121
2024-02-01,4874.5,5123.5,4872.5,5103.75,30702486
2024-03-01,5101.5,5322.75,5063.0,5308.5,28792599
2024-04-01,5314.25,5333.5,4963.5,5067.0,37709476
2024-05-01,5050.0,5368.25,5036.25,5295.5,29665464
2024-06-01,5299.5,5585.0,5246.75,5521.5,26941704
2024-07-01,5534.25,5721.25,5432.5,5558.0,37581209
2024-08-01,5574.75,5669.0,5120.0,5661.0,36160490
2024-10-01,5807.0,5927.25,5724.0,5738.5,28757682
2024-11-01,5742.0,6060.0,5724.25,6051.5,30190290
2025-01-01,5949.25,6162.25,5809.0,6067.25,34376980
2025-02-01,5982.25,6166.5,5848.0,5963.25,31773463
2025-03-01,5967.5,6000.5,5509.25,5653.25,40321085
2025-04-01,5644.25,5773.25,4832.0,5428.75,26430849
