Symbol: ES
Interval: weekly

Date,Open,High,Low,Close,Volume
,ES=F,ES=F,ES=F,ES=F,ES=F
2023-04-17,4174.25,4198.25,4135.25,4156.75,7432082
2023-04-24,4150.0,4193.75,4068.75,4188.5,8354185
2023-05-01,4190.0,4206.25,4062.25,4150.25,8473725
2023-05-08,4151.0,4173.25,4111.75,4138.0,6822509
2023-05-15,4132.25,4227.25,4120.0,4204.75,7554785
2023-05-22,4189.0,4222.75,4114.0,4213.25,8610855
2023-05-29,4239.75,4297.75,4174.0,4288.0,7920111
2023-06-05,4288.0,4325.5,4262.75,4304.75,8983057
2023-06-12,4306.5,4453.35009765625,4305.25,4453.35009765625,6122128
2023-06-19,4458.0,4462.0,4381.5,4389.0,5943668
2023-06-26,4390.0,4498.0,4368.5,4488.25,8227823
2023-07-03,4485.5,4494.0,4419.5,4434.0,5268212
2023-07-10,4437.5,4560.5,4411.25,4536.75,7024945
2023-07-17,4536.0,4609.25,4528.0,4564.75,6858542
2023-07-24,4564.25,4634.5,4553.75,4606.5,7294362
2023-07-31,4608.75,4621.75,4493.75,4498.0,8238572
2023-08-07,4500.5,4544.75,4459.0,4480.75,8472202
2023-08-14,4485.0,4517.75,4350.0,4382.75,7645636
2023-08-21,4382.5,4485.5,4365.25,4414.25,7680891
2023-08-28,4418.0,4547.75,4414.5,4521.5,6921310
2023-09-04,4521.25,4531.25,4434.25,4461.75,6280317
2023-09-11,4463.5,4517.75,4446.75,4491.72021484375,5839971
2023-09-18,4499.5,4514.5,4357.25,4361.0,7795528
2023-09-25,4365.0,4383.5,4277.0,4325.5,9403697
2023-10-02,4349.0,4358.5,4235.5,4341.5,10265475
2023-10-09,4315.0,4430.5,4299.5,4357.25,8625843
2023-10-16,4356.75,4423.25,4243.5,4248.5,10891004
2023-10-23,4256.25,4290.5,4122.25,4137.75,10367569
2023-10-30,4148.0,4391.75,4143.5,4376.0,9391050
2023-11-06,4379.25,4435.5,4354.25,4430.5,7835055
2023-11-13,4425.75,4541.25,4407.25,4527.5,7575127
2023-11-20,4526.75,4580.5,4520.0,4568.25,5702433
2023-11-27,4568.5,4607.75,4544.75,4600.75,8128149
2023-12-04,4603.25,4613.75,4548.75,4607.5,9669563
2023-12-11,4607.75,4739.25,4599.5,4694.27001953125,5817632
2023-12-18,4770.5,4830.75,4743.25,4805.25,7024909
2023-12-25,4800.25,4841.5,4796.75,4820.0,3939253
2024-01-01,4818.0,4828.0,4702.0,4734.75,6547927
2024-01-08,4735.75,4838.0,4715.25,4816.5,7480074
2024-01-15,4812.0,4874.25,4746.25,4869.5,8712452
2024-01-22,4872.5,4934.25,4872.5,4916.25,6969261
2024-01-29,4908.75,4997.75,4866.0,4980.25,8434713
2024-02-05,4976.0,5048.5,4937.75,5044.0,6318034
2024-02-12,5042.5,5066.5,4936.5,5019.75,7775770
2024-02-19,5016.5,5123.5,4959.0,5101.5,7702162
2024-02-26,5095.0,5149.25,5060.0,5146.0,6710545
2024-03-04,5142.0,5193.0,5063.0,5129.0,9668378
2024-03-11,5132.5,5189.5,5094.75,5101.669921875,5995930
2024-03-18,5185.75,5322.75,5181.75,5293.25,6712139
2024-03-25,5290.5,5321.0,5263.0,5308.5,4818821
2024-04-01,5314.25,5333.5,5191.5,5253.0,7804486
2024-04-08,5263.25,5285.0,5150.0,5167.5,8957061
2024-04-15,5166.5,5213.25,4963.5,5003.75,10311309
2024-04-22,5014.25,5146.5,5006.0,5131.5,7797845
2024-04-29,5140.25,5166.75,5036.25,5154.75,7971238
2024-05-06,5166.75,5264.0,5155.75,5246.25,5347038
2024-05-13,5240.5,5349.0,5216.75,5327.25,5827015
2024-05-20,5329.25,5368.25,5273.5,5321.5,6577179
2024-05-27,5321.75,5339.0,5205.5,5295.5,6781769
2024-06-03,5299.5,5385.5,5246.75,5355.75,7734900
2024-06-10,5351.5,5454.5,5334.5,5437.5,7971751
2024-06-17,5435.5,5518.5,5424.75,5471.89013671875,4373241
2024-06-24,5538.5,5585.0,5510.25,5521.5,6861812
2024-07-01,5534.25,5626.0,5502.75,5621.5,4789591
2024-07-08,5612.0,5708.25,5610.75,5664.75,6900181
2024-07-15,5681.0,5721.25,5542.0,5553.75,9881284
2024-07-22,5564.5,5629.75,5432.5,5499.0,10102045
2024-07-29,5496.5,5600.75,5331.75,5376.0,11899536
2024-08-05,5330.0,5385.25,5120.0,5370.25,11179750
2024-08-12,5364.25,5586.25,5347.75,5578.25,6416867
2024-08-19,5584.0,5665.25,5565.25,5652.5,5942765
2024-08-26,5650.5,5669.0,5561.25,5661.0,6629680
2024-09-02,5656.25,5669.75,5394.0,5419.5,7774910
2024-09-09,5410.0,5641.5,5405.25,5629.75,9645047
2024-09-16,5622.75,5737.5,5609.25,5699.990234375,5334933
2024-09-23,5762.0,5830.0,5745.25,5791.25,5943125
2024-09-30,5784.0,5822.5,5724.0,5800.0,7582333
2024-10-07,5802.0,5868.25,5725.25,5859.75,5642366
2024-10-14,5854.5,5927.25,5850.0,5906.0,5408798
2024-10-21,5911.5,5915.5,5801.0,5846.0,6093038
2024-10-28,5857.0,5893.0,5732.5,5758.25,7125907
2024-11-04,5741.75,6040.5,5724.25,6025.25,7025836
